POP_SIZE,max_gen,elitism,mut_prob,xo_prob,mutation,crossover,selection_algorithm,best_fitness,timestamp
50,100,True,0.1,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.1895214165917356,2025-05-17 11:59:06.974545
50,100,True,0.1,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.24578072191550127,2025-05-17 11:59:12.052233
50,100,True,0.1,0.8,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:59:29.312039
50,100,True,0.1,0.8,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 11:59:34.129586
50,100,True,0.1,0.8,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.10690449676496672,2025-05-17 11:59:50.907196
50,100,True,0.1,0.8,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.13997084244475427,2025-05-17 11:59:55.856720
50,100,True,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 12:00:12.803444
50,100,True,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 12:00:18.130766
50,100,True,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 12:00:35.277923
50,100,True,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 12:00:40.390434
50,100,True,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.22857142857142707,2025-05-17 12:00:57.460701
50,100,True,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.16659862556700386,2025-05-17 12:01:02.433451
50,100,True,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.13997084244475427,2025-05-17 12:01:19.439722
50,100,True,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.20995626366712705,2025-05-17 12:01:24.560729
50,100,True,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 12:01:41.448287
50,100,True,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 12:01:46.407643
50,100,True,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 12:02:03.205215
50,100,True,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 12:02:08.332766
50,100,True,0.2,0.7,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 12:02:25.582875
